index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor inlet air temperature (T1) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor inlet air pressure (P1) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
4260,4.161,12,14721.734,1547.458,7761.229,113.761,113.761,648.583,288,609.062,1.66,0.998,8.979,1.022,17.562,0.348,0.968,0.98
5432,6.175,18,29762.634,2306.856,8807.824,245.938,245.938,782.505,288,669.573,2.508,0.998,13.326,1.03,34.777,0.689,0.973,0.98
6285,4.161,12,14721.917,1547.464,7776.92,113.769,113.769,630.246,288,604.628,1.658,0.998,8.834,1.023,16.704,0.331,0.976,0.997
9412,8.206,24,50991.193,3087.354,9297.158,437.969,437.969,920.179,288,728.367,3.601,0.998,18.665,1.042,60.39,1.196,0.99,0.98
11292,7.148,21,39014.135,2677.964,9112.316,332.511,332.511,816.627,288,684.169,2.992,0.998,15.734,1.036,43.695,0.865,0.998,0.981
9367,8.206,24,50983.716,3087.112,9294.875,438.007,438.007,925.55,288,729.223,3.605,0.998,18.767,1.042,60.882,1.205,0.99,0.975
10203,7.148,21,39004.126,2678.038,9119.157,332.362,332.362,810.712,288,684.112,2.983,0.998,15.564,1.036,43.138,0.854,0.993,0.99
9891,1.138,3,4071.485,1386.464,6635.611,9.605,9.605,557.47,288,560.794,1.243,0.998,6.729,1.019,4.738,0.198,0.992,0.982
5591,3.144,9,8378.801,1386.755,7118.156,60.355,60.355,576.984,288,579.173,1.389,0.998,7.418,1.02,11.925,0.236,0.973,0.998
1171,2.088,6,6559.737,1357.587,6805.582,24.782,24.782,627.643,288,578.734,1.315,0.998,7.196,1.019,19.711,0.284,0.955,0.975
7927,8.206,24,50993.389,3087.478,9308.166,438.078,438.078,907.05,288,727.705,3.583,0.998,18.291,1.042,59.01,1.168,0.983,0.997
9611,9.3,27,72756.381,3560.36,9731.195,644.903,644.903,1068.705,288,774.423,4.547,0.998,23.052,1.051,89.263,1.767,0.991,0.976
11158,8.206,24,50993.059,3087.45,9298.523,438.106,438.106,903.036,288,724.239,3.598,0.998,18.443,1.042,58.946,1.167,0.997,0.992
9658,2.088,6,5999.886,1392.463,6765.978,31.175,31.175,579.056,288,568.734,1.311,0.998,7.094,1.02,0.0,0.223,0.991,0.982
11606,6.175,18,29762.428,2306.834,8791.148,245.95,245.95,758.476,288,661.235,2.515,0.998,13.24,1.031,33.407,0.661,0.999,0.99
874,2.088,6,4094.815,1345.011,6850.585,22.464,22.464,549.064,288,566.617,1.235,0.998,6.631,1.019,22.288,0.197,0.953,0.994
2297,3.144,9,8380.329,1386.764,7145.196,60.375,60.375,584.785,288,582.479,1.387,0.998,7.426,1.02,12.225,0.242,0.959,0.996
11098,2.088,6,6846.793,1363.715,6744.912,25.846,25.846,604.981,288,569.387,1.327,0.998,7.187,1.02,15.515,0.27,0.997,0.986
2643,7.148,21,38985.538,2678.074,9130.457,332.224,332.224,839.927,288,695.238,2.967,0.998,15.595,1.035,44.914,0.889,0.961,0.982
5347,2.088,6,4201.062,1390.74,6843.781,30.82,30.82,526.351,288,563.434,1.25,0.998,6.669,1.02,0.0,0.159,0.972,0.997
9032,6.175,18,29762.161,2306.757,8802.29,245.966,245.966,763.92,288,663.789,2.51,0.998,13.218,1.031,33.677,0.667,0.988,0.99
11853,1.138,3,3712.288,1341.844,6613.137,6.983,6.983,550.144,288,555.736,1.221,0.998,6.574,1.019,20.873,0.206,1.0,0.992
581,6.175,18,29795.822,2307.284,8838.583,246.318,246.318,785.96,288,673.216,2.498,0.998,13.195,1.03,34.835,0.69,0.952,0.987
204,7.148,21,38974.378,2678.074,9143.514,332.038,332.038,832.209,288,696.216,2.95,0.998,15.306,1.035,44.112,0.873,0.95,0.997
7896,4.161,12,14720.452,1547.458,7755.235,113.762,113.762,629.678,288,603.605,1.66,0.998,8.867,1.023,16.702,0.331,0.983,0.994
2014,8.206,24,50995.126,3087.56,9319.192,438.089,438.089,931.167,288,736.727,3.569,0.998,18.341,1.041,60.674,1.201,0.958,0.99
905,6.175,18,29798.156,2307.222,8847.796,246.369,246.369,774.632,288,670.799,2.495,0.998,13.062,1.03,34.102,0.675,0.953,0.997
631,2.088,6,4728.641,1344.755,6850.313,22.444,22.444,568.031,288,569.547,1.255,0.998,6.749,1.019,23.205,0.22,0.952,0.993
8461,2.088,6,4494.457,1393.43,6770.07,31.317,31.317,541.519,288,564.477,1.263,0.998,6.845,1.02,0.0,0.174,0.986,0.979
9947,3.144,9,8375.432,1386.736,7050.531,60.315,60.315,576.527,288,576.613,1.392,0.998,7.498,1.021,11.944,0.236,0.992,0.988
1974,4.161,12,14723.938,1547.467,7796.133,113.793,113.793,647.912,288,610.287,1.657,0.998,8.915,1.022,17.492,0.346,0.958,0.986
162,1.138,3,530.989,1324.357,6707.512,6.181,6.181,473.949,288,549.713,1.103,0.998,5.916,1.019,19.388,0.108,0.95,0.993
4998,4.161,12,14721.667,1547.458,7762.378,113.769,113.769,643.688,288,607.766,1.66,0.998,8.945,1.022,17.338,0.343,0.971,0.984
4713,7.148,21,38993.298,2678.062,9124.038,332.248,332.248,837.996,288,693.121,2.975,0.998,15.693,1.035,44.919,0.889,0.97,0.978
9067,5.14,15,21627.616,1924.334,8475.706,175.23,175.23,693.167,288,632.834,2.085,0.998,11.039,1.027,24.407,0.483,0.988,0.994
1431,1.138,3,427.693,1356.399,6676.262,7.948,7.948,461.714,288,549.789,1.102,0.998,5.964,1.019,3.236,0.078,0.956,0.978
6868,2.088,6,3738.986,1386.634,6793.297,30.019,30.019,520.069,288,561.733,1.235,0.998,6.657,1.02,0.0,0.148,0.979,0.984
10897,8.206,24,50993.245,3087.454,9297.792,438.037,438.037,906.794,288,725.039,3.599,0.998,18.501,1.042,59.276,1.173,0.996,0.989
7710,7.148,21,38991.771,2678.082,9128.854,332.249,332.249,808.864,288,685.912,2.971,0.998,15.378,1.036,42.808,0.848,0.982,0.999
7736,6.175,18,29761.17,2306.849,8793.285,246.017,246.017,781.854,288,668.094,2.513,0.998,13.4,1.03,34.82,0.689,0.983,0.976
4283,9.3,27,72766.483,3560.405,9763.013,644.749,644.749,1088.648,288,781.48,4.512,0.998,22.736,1.05,90.4,1.79,0.968,0.982
7531,8.206,24,50991.868,3087.386,9301.124,438.085,438.085,926.489,288,730.966,3.596,0.998,18.657,1.042,60.797,1.204,0.982,0.979
11764,2.088,6,3140.085,1376.795,6737.025,28.147,28.147,497.089,288,555.155,1.214,0.998,6.554,1.02,2.713,0.126,1.0,0.982
3384,1.138,3,2926.888,1415.115,6722.743,11.386,11.386,527.435,288,561.068,1.206,0.998,6.489,1.019,0.0,0.155,0.964,0.987
11674,2.088,6,4615.048,1344.254,6757.844,22.279,22.279,541.724,288,558.818,1.254,0.998,6.709,1.02,22.346,0.2,0.999,0.998
9700,8.206,24,50993.313,3087.458,9299.216,437.954,437.954,913.168,288,727.049,3.598,0.998,18.545,1.042,59.761,1.183,0.991,0.986
11033,9.3,27,72755.919,3560.363,9726.223,645.016,645.016,1060.542,288,772.08,4.552,0.998,23.037,1.052,88.594,1.754,0.997,0.978
7462,2.088,6,6468.905,1387.516,6824.162,30.268,30.268,584.591,288,570.19,1.321,0.998,7.063,1.02,2.243,0.236,0.981,0.998
3331,2.088,6,3509.235,1347.242,6793.586,22.827,22.827,536.228,288,563.841,1.218,0.998,6.611,1.019,20.459,0.179,0.964,0.981
6404,6.175,18,29762.894,2306.839,8807.695,246.008,246.008,776.02,288,667.72,2.508,0.998,13.278,1.03,34.385,0.681,0.977,0.984
8895,4.161,12,14718.102,1547.444,7707.128,113.738,113.738,643.948,288,605.581,1.665,0.998,9.043,1.023,17.415,0.345,0.988,0.975
2096,9.3,27,72780.955,3560.442,9787.506,645.178,645.178,1085.359,288,782.806,4.478,0.998,22.216,1.049,89.417,1.77,0.958,0.999
10018,2.088,6,6769.333,1362.575,6779.643,25.642,25.642,597.027,288,568.73,1.323,0.998,7.104,1.02,16.043,0.263,0.992,0.996
7999,8.206,24,50991.552,3087.37,9300.018,437.919,437.919,925.171,288,730.355,3.598,0.998,18.664,1.042,60.72,1.202,0.984,0.979
5017,5.14,15,21631.719,1924.324,8484.491,175.301,175.301,709.471,288,638.377,2.082,0.998,11.103,1.026,25.249,0.5,0.971,0.986
8738,9.3,27,72763.76,3560.384,9742.254,645.049,645.049,1066.786,288,774.649,4.534,0.998,22.834,1.051,88.818,1.758,0.987,0.983
1449,1.138,3,1037.204,1380.996,6698.386,9.36,9.36,477.981,288,553.203,1.129,0.998,6.098,1.019,0.0,0.095,0.956,0.98
6900,7.148,21,38995.277,2678.065,9124.264,332.357,332.357,822.775,288,688.82,2.976,0.998,15.569,1.036,43.867,0.869,0.979,0.987
2610,1.138,3,2903.647,1311.681,6642.127,5.491,5.491,562.962,288,561.481,1.188,0.998,6.476,1.019,32.508,0.216,0.961,0.979
1900,2.088,6,5662.645,1347.704,6800.182,22.977,22.977,602.383,288,574.182,1.286,0.998,7.015,1.019,23.343,0.258,0.958,0.978
8186,6.175,18,29790.624,2307.446,8817.613,246.266,246.266,755.471,288,662.651,2.506,0.998,13.083,1.031,33.097,0.655,0.984,1.0
3920,6.175,18,29793.981,2307.324,8830.531,246.249,246.249,770.997,288,668.248,2.501,0.998,13.127,1.03,33.975,0.673,0.966,0.994
2757,4.161,12,14724.277,1547.471,7807.326,113.796,113.796,638.728,288,608.196,1.656,0.998,8.838,1.022,17.06,0.338,0.961,0.995
6397,8.206,24,50994.049,3087.489,9305.625,438.019,438.019,925.549,288,731.835,3.589,0.998,18.555,1.041,60.599,1.2,0.977,0.983
10337,6.175,18,29761.154,2306.835,8785.063,246.0,246.0,772.954,288,664.835,2.516,0.998,13.38,1.03,34.326,0.68,0.994,0.979
2097,1.138,3,1182.563,1385.144,6747.16,9.563,9.563,469.059,288,550.829,1.134,0.998,6.024,1.019,0.0,0.09,0.958,1.0
8329,5.14,15,21627.919,1924.328,8474.914,175.266,175.266,698.444,288,634.259,2.085,0.998,11.079,1.027,24.697,0.489,0.985,0.99
11275,8.206,24,50988.694,3087.25,9292.35,437.905,437.905,916.089,288,726.146,3.608,0.998,18.714,1.042,60.182,1.191,0.998,0.979
5624,9.3,27,72759.26,3560.376,9750.018,644.693,644.693,1088.17,288,780.423,4.527,0.998,22.968,1.05,90.682,1.795,0.974,0.975
9028,2.088,6,6530.606,1387.399,6788.923,30.238,30.238,589.875,288,570.132,1.324,0.998,7.131,1.02,2.228,0.241,0.988,0.99
3471,7.148,21,38982.058,2678.083,9136.059,332.117,332.117,823.683,288,691.942,2.96,0.998,15.369,1.035,43.683,0.865,0.964,0.996
8266,5.14,15,21626.599,1924.318,8468.647,175.238,175.238,705.122,288,635.511,2.087,0.998,11.158,1.026,25.086,0.497,0.985,0.983
2171,3.144,9,8378.842,1386.755,7109.095,60.356,60.356,596.038,288,584.545,1.389,0.998,7.527,1.02,12.694,0.251,0.959,0.982
11011,5.14,15,21621.683,1924.304,8451.455,175.189,175.189,705.798,288,633.916,2.093,0.998,11.257,1.026,25.2,0.499,0.997,0.976
10952,9.3,27,72772.243,3560.391,9742.937,644.863,644.863,1046.826,288,769.712,4.531,0.998,22.571,1.052,86.881,1.72,0.996,0.995
8590,5.14,15,21628.084,1924.333,8476.67,175.261,175.261,695.113,288,633.489,2.085,0.998,11.047,1.027,24.509,0.485,0.986,0.993
2010,4.161,12,14724.374,1547.47,7804.205,113.799,113.799,644.421,288,609.648,1.656,0.998,8.879,1.022,17.324,0.343,0.958,0.99
11681,9.3,27,72774.046,3560.393,9742.3,644.79,644.79,1041.136,288,768.235,4.532,0.998,22.511,1.052,86.346,1.709,0.999,0.998
1283,6.175,18,29794.963,2307.307,8835.287,246.252,246.252,784.36,288,672.472,2.499,0.998,13.201,1.03,34.757,0.688,0.955,0.987
11455,8.206,24,50992.723,3087.439,9300.92,438.061,438.061,895.238,288,722.794,3.593,0.998,18.305,1.043,58.236,1.153,0.998,0.999
1019,3.144,9,8379.62,1386.76,7125.798,60.356,60.356,596.712,288,585.35,1.388,0.998,7.51,1.02,12.711,0.252,0.954,0.984
8667,1.138,3,4309.417,1380.49,6627.916,9.293,9.293,572.238,288,563.522,1.249,0.998,6.806,1.019,5.814,0.212,0.987,0.976
2810,3.144,9,8377.738,1386.75,7084.268,60.341,60.341,600.399,288,584.926,1.39,0.998,7.58,1.02,12.881,0.255,0.962,0.975
10291,5.14,15,21627.032,1924.343,8476.439,175.261,175.261,685.112,288,630.597,2.085,0.998,10.98,1.027,23.965,0.474,0.993,1.0
1651,5.14,15,21634.384,1924.312,8488.865,175.262,175.262,726.691,288,643.682,2.08,0.998,11.196,1.026,26.147,0.518,0.957,0.976
11471,6.175,18,29760.316,2306.817,8775.984,245.995,245.995,774.926,288,664.585,2.52,0.998,13.445,1.03,34.498,0.683,0.999,0.975
1169,9.3,27,72782.999,3560.433,9792.674,645.182,645.182,1089.177,288,784.197,4.472,0.998,22.164,1.049,89.635,1.774,0.954,1.0
6256,2.088,6,4665.019,1393.549,6829.099,31.364,31.364,539.554,288,565.023,1.267,0.998,6.777,1.02,0.0,0.175,0.976,0.994
5469,7.148,21,38992.512,2678.07,9125.63,332.31,332.31,829.792,288,691.164,2.974,0.998,15.6,1.035,44.322,0.878,0.973,0.984
10414,2.088,6,6978.586,1371.804,6761.35,27.337,27.337,605.668,288,570.358,1.333,0.998,7.204,1.02,11.538,0.268,0.994,0.988
867,4.161,12,14725.47,1547.475,7822.002,113.811,113.811,644.139,288,610.279,1.654,0.998,8.848,1.022,17.291,0.342,0.953,0.993
5093,9.3,27,72777.053,3560.413,9769.436,644.854,644.854,1074.847,288,778.672,4.501,0.998,22.433,1.05,88.904,1.76,0.971,0.994
5433,7.148,21,38994.474,2678.061,9123.605,332.351,332.351,833.912,288,691.851,2.976,0.998,15.669,1.035,44.648,0.884,0.973,0.98
541,2.088,6,6224.29,1353.246,6830.082,23.991,23.991,614.235,288,576.894,1.303,0.998,7.079,1.019,21.196,0.271,0.952,0.983
9324,1.138,3,637.556,1335.348,6638.27,6.606,6.606,455.603,288,541.973,1.109,0.998,5.911,1.019,15.226,0.091,0.989,0.997
11738,3.144,9,8373.509,1386.719,7010.761,60.291,60.291,580.17,288,576.242,1.394,0.998,7.568,1.02,12.114,0.24,1.0,0.979
6354,1.138,3,3668.439,1330.311,6621.602,6.453,6.453,572.613,288,561.811,1.217,0.998,6.635,1.019,26.116,0.226,0.977,0.979
11137,5.14,15,21624.125,1924.325,8463.861,175.239,175.239,692.408,288,631.404,2.089,0.998,11.097,1.027,24.418,0.483,0.997,0.99
3390,7.148,21,38985.336,2678.078,9131.519,332.13,332.13,832.754,288,693.446,2.966,0.998,15.519,1.035,44.401,0.879,0.964,0.987
9598,5.14,15,21623.436,1924.304,8456.012,175.233,175.233,709.823,288,635.524,2.091,0.998,11.259,1.026,25.396,0.503,0.991,0.975
11852,9.3,27,72767.085,3560.39,9735.003,644.79,644.79,1046.024,288,768.965,4.541,0.998,22.703,1.052,86.993,1.722,1.0,0.991
3959,9.3,27,72779.96,3560.425,9778.029,644.817,644.817,1077.072,288,779.955,4.49,0.998,22.295,1.05,88.885,1.76,0.966,0.998
6643,2.088,6,3979.826,1389.419,6799.76,30.556,30.556,526.328,288,562.866,1.244,0.998,6.698,1.02,0.0,0.156,0.978,0.985
6841,2.088,6,3418.698,1382.428,6783.125,29.224,29.224,513.214,288,560.789,1.223,0.998,6.615,1.02,0.533,0.139,0.979,0.981
9884,3.144,9,8374.69,1386.732,7032.957,60.305,60.305,582.057,288,577.618,1.393,0.998,7.549,1.02,12.178,0.241,0.992,0.981
3586,5.14,15,21633.132,1924.321,8487.51,175.259,175.259,715.528,288,640.401,2.081,0.998,11.128,1.026,25.56,0.506,0.965,0.983
9641,3.144,9,8374.743,1386.732,7032.617,60.306,60.306,583.291,288,577.971,1.393,0.998,7.556,1.02,12.228,0.242,0.991,0.98
2563,8.206,24,50994.238,3087.53,9321.701,438.015,438.015,920.618,288,734.703,3.563,0.998,18.165,1.041,59.739,1.183,0.96,0.999
5036,6.175,18,29790.56,2307.466,8819.009,246.186,246.186,774.884,288,668.344,2.505,0.998,13.218,1.03,34.274,0.679,0.971,0.988
1080,1.138,3,5055.254,1314.505,6692.471,5.674,5.674,615.726,288,570.122,1.254,0.998,6.788,1.019,32.565,0.28,0.954,0.991
5891,6.175,18,29761.325,2306.789,8804.64,245.999,245.999,782.586,288,669.315,2.509,0.998,13.343,1.03,34.799,0.689,0.975,0.979
4966,8.206,24,50994.217,3087.493,9307.714,438.109,438.109,932.765,288,734.201,3.587,0.998,18.596,1.041,61.13,1.21,0.971,0.98
2023,8.206,24,50994.97,3087.553,9319.598,437.999,437.999,930.136,288,736.572,3.568,0.998,18.32,1.041,60.578,1.199,0.958,0.991
10715,6.175,18,29762.673,2306.757,8800.274,245.971,245.971,755.112,288,661.075,2.511,0.998,13.165,1.031,33.149,0.656,0.995,0.995
7909,8.206,24,50993.528,3087.479,9307.34,438.091,438.091,909.085,288,728.022,3.584,0.998,18.331,1.042,59.2,1.172,0.983,0.995
10405,2.088,6,6981.261,1374.426,6760.522,27.828,27.828,605.782,288,570.572,1.334,0.998,7.214,1.02,10.213,0.267,0.994,0.987
7321,5.14,15,21627.676,1924.317,8471.469,175.247,175.247,708.141,288,636.657,2.086,0.998,11.163,1.026,25.236,0.5,0.981,0.982
226,2.088,6,4178.563,1344.968,6872.994,22.462,22.462,548.093,288,566.701,1.237,0.998,6.608,1.019,22.353,0.197,0.95,1.0
1013,6.175,18,29794.085,2307.345,8832.253,246.243,246.243,789.301,288,673.605,2.5,0.998,13.253,1.03,35.072,0.694,0.954,0.983
1929,4.161,12,14723.635,1547.464,7786.102,113.775,113.775,652.326,288,611.094,1.658,0.998,8.96,1.022,17.704,0.35,0.958,0.981
10219,5.14,15,21625.749,1924.33,8469.302,175.219,175.219,692.529,288,631.996,2.087,0.998,11.069,1.027,24.401,0.483,0.993,0.992
5251,5.14,15,21631.416,1924.324,8483.541,175.275,175.275,708.949,288,638.131,2.082,0.998,11.104,1.026,25.225,0.499,0.972,0.986
2179,2.088,6,4326.002,1344.07,6808.169,22.302,22.302,561.817,288,567.908,1.244,0.998,6.742,1.019,23.51,0.211,0.959,0.983
697,5.14,15,21640.106,1924.357,8515.705,175.326,175.326,706.171,288,640.621,2.072,0.998,10.918,1.026,24.936,0.494,0.952,1.0
1124,9.3,27,72778.707,3560.435,9789.084,645.114,645.114,1093.438,288,784.842,4.478,0.998,22.296,1.049,90.144,1.784,0.954,0.995
7378,8.206,24,50993.953,3087.495,9305.523,438.011,438.011,917.635,288,729.773,3.588,0.998,18.467,1.042,59.954,1.187,0.981,0.988
10377,1.138,3,4438.086,1383.021,6634.328,9.388,9.388,566.033,288,561.517,1.254,0.998,6.781,1.019,4.883,0.209,0.994,0.984
5110,8.206,24,50993.984,3087.507,9314.348,438.097,438.097,916.103,288,731.627,3.574,0.998,18.267,1.042,59.579,1.179,0.971,0.996
7902,1.138,3,1046.234,1375.417,6673.03,8.896,8.896,459.236,288,545.803,1.129,0.998,6.018,1.019,0.0,0.082,0.983,0.995
1778,6.175,18,29795.335,2307.293,8836.193,246.268,246.268,780.028,288,671.321,2.499,0.998,13.164,1.03,34.491,0.683,0.957,0.99
11100,4.161,12,14717.554,1547.446,7708.917,113.723,113.723,630.361,288,601.926,1.665,0.998,8.952,1.023,16.786,0.332,0.997,0.986
2634,7.148,21,38985.956,2678.073,9129.95,332.17,332.17,840.964,288,695.409,2.967,0.998,15.612,1.035,44.995,0.891,0.961,0.981
7544,3.144,9,8375.862,1386.739,7054.798,60.319,60.319,586.458,288,579.724,1.392,0.998,7.545,1.02,12.342,0.244,0.982,0.981
7604,9.3,27,72769.019,3560.392,9751.415,644.799,644.799,1068.719,288,775.767,4.523,0.998,22.693,1.051,88.779,1.757,0.982,0.987
3489,7.148,21,38981.422,2678.085,9137.065,332.201,332.201,821.698,288,691.613,2.959,0.998,15.335,1.035,43.526,0.862,0.964,0.998
1037,3.144,9,8379.861,1386.761,7130.972,60.356,60.356,595.085,288,585.052,1.388,0.998,7.495,1.02,12.644,0.25,0.954,0.986
9756,1.138,3,2064.119,1396.229,6666.988,10.108,10.108,487.516,288,550.302,1.172,0.998,6.265,1.019,0.6,0.115,0.991,0.993
8505,1.138,3,3608.611,1335.089,6618.123,6.676,6.676,561.361,288,559.078,1.216,0.998,6.596,1.019,23.798,0.215,0.986,0.984
2649,4.161,12,14723.284,1547.464,7783.189,113.786,113.786,649.161,288,610.109,1.658,0.998,8.945,1.022,17.563,0.348,0.961,0.983
2979,1.138,3,5133.848,1316.468,6683.375,5.739,5.739,611.218,288,568.338,1.257,0.998,6.785,1.019,31.715,0.277,0.962,0.994
2547,1.138,3,314.798,1344.553,6710.047,7.233,7.233,448.229,288,545.386,1.096,0.998,5.829,1.019,7.558,0.072,0.96,0.998
5132,3.144,9,8379.145,1386.757,7125.268,60.355,60.355,577.083,288,579.455,1.388,0.998,7.41,1.02,11.925,0.236,0.971,0.999
2159,9.3,27,72765.734,3560.407,9771.878,644.88,644.88,1100.75,288,785.045,4.503,0.998,22.733,1.049,91.312,1.808,0.959,0.98
9114,7.148,21,38995.689,2678.077,9126.005,332.365,332.365,805.007,288,684.107,2.975,0.998,15.398,1.036,42.598,0.843,0.988,0.999
6445,2.088,6,4385.086,1392.474,6813.76,31.151,31.151,534.9,288,564.361,1.258,0.998,6.756,1.02,0.0,0.168,0.977,0.989
3967,8.206,24,50993.963,3087.517,9318.344,438.037,438.037,916.481,288,732.763,3.568,0.998,18.188,1.041,59.496,1.178,0.966,0.999
1428,7.148,21,38984.999,2678.087,9130.395,332.224,332.224,848.549,288,697.682,2.966,0.998,15.664,1.035,45.502,0.901,0.956,0.977
10035,1.138,3,3507.118,1316.678,6626.237,5.597,5.597,551.158,288,555.247,1.208,0.998,6.482,1.019,29.83,0.213,0.992,0.998
2520,1.138,3,1764.814,1311.977,6683.765,5.484,5.484,515.73,288,554.105,1.148,0.998,6.166,1.019,28.332,0.164,0.96,0.995
8033,6.175,18,29761.695,2306.78,8799.333,245.995,245.995,773.558,288,666.279,2.511,0.998,13.305,1.03,34.282,0.679,0.984,0.983
10293,7.148,21,38998.697,2678.071,9124.151,332.278,332.278,800.854,288,682.454,2.978,0.998,15.397,1.036,42.346,0.838,0.993,1.0
11779,8.206,24,50991.44,3087.364,9293.052,437.979,437.979,910.543,288,724.863,3.607,0.998,18.639,1.042,59.711,1.182,1.0,0.983
448,8.206,24,50994.731,3087.557,9326.393,438.039,438.039,927.925,288,737.805,3.557,0.998,18.152,1.041,60.2,1.192,0.951,0.998
10116,1.138,3,4084.107,1353.764,6609.653,7.719,7.719,568.337,288,560.327,1.236,0.998,6.716,1.019,16.769,0.219,0.993,0.981
5995,2.088,6,4111.639,1390.433,6821.926,30.757,30.757,526.963,288,563.187,1.248,0.998,6.685,1.02,0.0,0.158,0.975,0.991
9587,3.144,9,8376.898,1386.744,7085.146,60.334,60.334,568.082,288,575.316,1.39,0.998,7.412,1.021,11.581,0.229,0.99,1.0
3727,2.088,6,3384.111,1381.041,6858.439,28.982,28.982,505.642,288,560.659,1.22,0.998,6.487,1.02,0.83,0.133,0.965,0.999
7353,1.138,3,1255.769,1377.732,6657.58,9.062,9.062,472.698,288,548.7,1.138,0.998,6.118,1.019,1.499,0.096,0.981,0.986
8553,4.161,12,14719.588,1547.454,7738.746,113.732,113.732,632.618,288,603.758,1.662,0.998,8.914,1.023,16.857,0.334,0.986,0.989
6279,7.148,21,38989.169,2678.083,9130.227,332.26,332.26,815.725,288,688.23,2.968,0.998,15.408,1.036,43.255,0.856,0.976,0.996
10660,5.14,15,21624.451,1924.325,8464.794,175.247,175.247,694.347,288,632.053,2.089,0.998,11.105,1.027,24.519,0.485,0.995,0.989
7295,6.175,18,29761.394,2306.792,8798.382,245.932,245.932,779.514,288,667.886,2.511,0.998,13.355,1.03,34.649,0.686,0.981,0.979
6251,6.175,18,29790.692,2307.452,8818.809,246.27,246.27,766.919,288,666.051,2.506,0.998,13.16,1.03,33.79,0.669,0.976,0.993
5926,5.14,15,21629.883,1924.319,8477.996,175.236,175.236,710.281,288,637.937,2.084,0.998,11.143,1.026,25.321,0.501,0.975,0.983
2460,4.161,12,14723.825,1547.468,7795.526,113.795,113.795,645.237,288,609.527,1.657,0.998,8.899,1.022,17.371,0.344,0.96,0.988
22,5.14,15,21636.925,1924.315,8496.61,175.282,175.282,729.497,288,645.272,2.078,0.998,11.174,1.026,26.26,0.52,0.95,0.977
2066,6.175,18,29796.783,2307.249,8841.275,246.274,246.274,773.05,288,669.776,2.497,0.998,13.085,1.03,34.04,0.674,0.958,0.996
1653,7.148,21,38986.048,2678.085,9129.392,332.255,332.255,848.909,288,697.538,2.967,0.998,15.684,1.035,45.548,0.902,0.957,0.976
8894,3.144,9,8374.478,1386.729,7026.562,60.302,60.302,588.628,288,579.326,1.393,0.998,7.592,1.02,12.446,0.246,0.988,0.975
8706,4.161,12,14718.759,1547.447,7718.993,113.727,113.727,639.984,288,604.984,1.664,0.998,8.997,1.023,17.219,0.341,0.987,0.98
1376,9.3,27,72779.442,3560.436,9789.399,644.966,644.966,1090.551,288,784.201,4.477,0.998,22.25,1.049,89.86,1.779,0.955,0.997
1724,6.175,18,29793.428,2307.358,8830.0,246.226,246.226,786.598,288,672.641,2.501,0.998,13.245,1.03,34.921,0.691,0.957,0.984
3754,2.088,6,3910.549,1344.829,6775.019,22.407,22.407,552.079,288,565.735,1.231,0.998,6.712,1.019,22.548,0.198,0.966,0.976
8652,4.161,12,14720.493,1547.46,7760.42,113.751,113.751,623.304,288,602.033,1.66,0.998,8.817,1.023,16.401,0.325,0.986,1.0
4183,8.206,24,50994.079,3087.516,9316.977,437.965,437.965,917.813,288,732.748,3.57,0.998,18.232,1.041,59.645,1.181,0.967,0.997
4082,6.175,18,29791.127,2307.446,8821.237,246.274,246.274,779.142,288,669.752,2.504,0.998,13.238,1.03,34.52,0.683,0.967,0.986
8474,6.175,18,29761.503,2306.841,8794.249,245.987,245.987,775.864,288,666.481,2.513,0.998,13.351,1.03,34.451,0.682,0.986,0.98
6579,1.138,3,5638.445,1353.927,6634.641,7.785,7.785,621.018,288,569.726,1.283,0.998,7.006,1.019,16.854,0.278,0.978,0.978
4558,5.14,15,21632.519,1924.326,8487.303,175.255,175.255,709.555,288,638.689,2.081,0.998,11.088,1.026,25.241,0.5,0.969,0.987
3537,1.138,3,5126.493,1408.173,6695.41,10.998,10.998,599.439,288,571.568,1.28,0.998,6.962,1.019,0.0,0.237,0.965,0.978
7003,2.088,6,6106.374,1390.997,6833.184,30.921,30.921,573.82,288,569.243,1.311,0.998,6.999,1.02,0.0,0.221,0.979,0.999
11299,5.14,15,21622.42,1924.313,8455.859,175.236,175.236,699.499,288,632.594,2.092,0.998,11.189,1.027,24.839,0.492,0.998,0.982
11378,3.144,9,8374.968,1386.733,7045.029,60.307,60.307,571.611,288,574.943,1.392,0.998,7.48,1.021,11.747,0.233,0.998,0.991
8789,6.175,18,29762.077,2306.758,8802.309,245.946,245.946,765.5,288,664.243,2.51,0.998,13.229,1.031,33.774,0.669,0.987,0.989
